dataset,model,stage,domain,mIoU,aAcc,fwIoU,num_images
bdd10k,deeplabv3plus_r50,stage2,clear_day,43.349179943463476,91.2051413111416,84.4589289077253,1016
bdd10k,deeplabv3plus_r50,stage2,cloudy,46.52944883533171,94.18194893498591,89.54240675822895,230
bdd10k,deeplabv3plus_r50,stage2,dawn_dusk,37.58816485140995,91.58473898404173,85.22738721838994,94
bdd10k,deeplabv3plus_r50,stage2,foggy,60.82800990306385,97.08692274812172,94.96928517191792,4
bdd10k,deeplabv3plus_r50,stage2,night,26.263066459060084,77.45477262388589,63.07602120414815,92
bdd10k,deeplabv3plus_r50,stage2,rainy,42.098688968630995,89.6601079882028,81.92853715282372,200
bdd10k,deeplabv3plus_r50,stage2,snowy,47.74971000229825,90.90190789686984,84.08124916484657,221
bdd10k,pspnet_r50,stage2,clear_day,44.949071384153086,90.99264448360614,84.04572370582561,1016
bdd10k,pspnet_r50,stage2,cloudy,47.85016816081251,94.03660303941817,89.26334157408458,230
bdd10k,pspnet_r50,stage2,dawn_dusk,38.94224122063905,91.6811189745037,85.24500856990628,94
bdd10k,pspnet_r50,stage2,foggy,59.383997509022876,97.39055024906703,95.4151876266753,4
bdd10k,pspnet_r50,stage2,night,27.498897290833018,78.66594804831,65.40040774620995,92
bdd10k,pspnet_r50,stage2,rainy,43.201835855836016,89.41959070620337,81.35582833616813,200
bdd10k,pspnet_r50,stage2,snowy,51.619833291444905,90.64749161125927,83.51825571834273,221
bdd10k,segformer_mit-b5,stage2,clear_day,50.864814381522386,92.15284244664247,85.99075614669069,1016
bdd10k,segformer_mit-b5,stage2,cloudy,52.28140318605906,94.63406127877086,90.30521186417349,230
bdd10k,segformer_mit-b5,stage2,dawn_dusk,45.101966511857746,92.27955612603486,86.5124776280288,94
bdd10k,segformer_mit-b5,stage2,foggy,60.9536835689705,96.84124648593551,94.63528376232335,4
bdd10k,segformer_mit-b5,stage2,night,34.121767280023164,81.84864572253993,69.90740836701904,92
bdd10k,segformer_mit-b5,stage2,rainy,50.98604086251237,91.19915363771713,84.36940255754266,200
bdd10k,segformer_mit-b5,stage2,snowy,58.741981025390835,92.18040737525416,86.11819105248665,221
idd-aw,deeplabv3plus_r50,stage2,clear_day,43.955929761951964,83.3712854862875,73.0538691545117,1650
idd-aw,deeplabv3plus_r50,stage2,cloudy,46.307299255123105,93.38869010674587,88.54110791694059,416
idd-aw,deeplabv3plus_r50,stage2,dawn_dusk,43.3093919281592,91.4992615219654,85.3119481913121,112
idd-aw,deeplabv3plus_r50,stage2,foggy,56.35828376629411,95.93364941679079,92.51914903894051,290
idd-aw,deeplabv3plus_r50,stage2,night,39.48229813138313,87.9450733206268,79.36657694091492,93
idd-aw,deeplabv3plus_r50,stage2,rainy,42.223362836214186,88.48381235001713,80.25595977753838,204
idd-aw,deeplabv3plus_r50,stage2,snowy,41.76206843514353,85.08194595238989,74.26403290945758,163
idd-aw,pspnet_r50,stage2,clear_day,43.15416249510353,83.25397007481779,72.70943809879302,1650
idd-aw,pspnet_r50,stage2,cloudy,45.25331922158216,93.47702009547478,88.63091794083965,416
idd-aw,pspnet_r50,stage2,dawn_dusk,42.815255256002594,91.7065307454019,85.53443880058491,112
idd-aw,pspnet_r50,stage2,foggy,55.962132029144016,96.04244703080512,92.73243326348634,290
idd-aw,pspnet_r50,stage2,night,43.49610299578725,89.5627979141151,81.98190439225382,93
idd-aw,pspnet_r50,stage2,rainy,42.41650875892246,88.70776418734395,80.53129282503224,204
idd-aw,pspnet_r50,stage2,snowy,43.465167533892384,85.0573549986078,74.0633514145147,163
idd-aw,segformer_mit-b5,stage2,clear_day,46.49735176312483,84.20623623273255,74.1772255710608,1650
idd-aw,segformer_mit-b5,stage2,cloudy,49.48262951690999,93.99792745687554,89.47651972376653,416
idd-aw,segformer_mit-b5,stage2,dawn_dusk,49.173483448460814,92.73168550614433,87.1645107818059,112
idd-aw,segformer_mit-b5,stage2,foggy,63.795504032857394,96.76866351227996,94.01202562996762,290
idd-aw,segformer_mit-b5,stage2,night,50.74527246739199,91.8124143526153,85.63523855070045,93
idd-aw,segformer_mit-b5,stage2,rainy,47.24338126093206,89.83771456951274,82.38850254183578,204
idd-aw,segformer_mit-b5,stage2,snowy,48.15300139642227,87.29715415175163,77.64019432990189,163
mapillaryvistas,deeplabv3plus_r50,stage2,clear_day,32.901328385241555,89.10489493250033,82.37375803361657,3226
mapillaryvistas,deeplabv3plus_r50,stage2,cloudy,33.65662660299775,91.08186410023616,85.46084980783728,1248
mapillaryvistas,deeplabv3plus_r50,stage2,dawn_dusk,36.74931297890797,88.5486920674642,81.71465089088166,48
mapillaryvistas,deeplabv3plus_r50,stage2,foggy,39.638592721813986,90.95084578902633,85.64045472920195,27
mapillaryvistas,deeplabv3plus_r50,stage2,night,29.189746917910185,84.86421373155382,77.13635566553381,81
mapillaryvistas,deeplabv3plus_r50,stage2,rainy,30.97208444522947,85.30845642089844,77.62408406809487,166
mapillaryvistas,deeplabv3plus_r50,stage2,snowy,30.431970017920047,86.91679511974061,78.95059945347455,153
mapillaryvistas,pspnet_r50,stage2,clear_day,33.88596918717528,88.98268875245049,81.83841633965531,3226
mapillaryvistas,pspnet_r50,stage2,cloudy,34.47225753851681,90.92672849312807,84.9939145420427,1248
mapillaryvistas,pspnet_r50,stage2,dawn_dusk,35.18891657799326,88.11288674672446,80.80762562982636,48
mapillaryvistas,pspnet_r50,stage2,foggy,38.88395569223284,90.75356942635996,84.70141175168274,27
mapillaryvistas,pspnet_r50,stage2,night,29.653736003015176,85.1433883478612,76.2968802467498,81
mapillaryvistas,pspnet_r50,stage2,rainy,31.507244601110507,85.34928057567183,77.2637872763024,166
mapillaryvistas,pspnet_r50,stage2,snowy,30.489443852422564,86.1816979701223,77.9921150391957,153
mapillaryvistas,segformer_mit-b5,stage2,clear_day,40.881682117645894,90.5294866496853,84.12967685501758,3226
mapillaryvistas,segformer_mit-b5,stage2,cloudy,38.908688259300725,92.0347409370618,86.69147410316727,1248
mapillaryvistas,segformer_mit-b5,stage2,dawn_dusk,42.8730788300633,89.62179819742838,82.89456311538146,48
mapillaryvistas,segformer_mit-b5,stage2,foggy,50.16839293022658,94.37195106788919,89.79261142950105,27
mapillaryvistas,segformer_mit-b5,stage2,night,37.08831871792559,89.10391065809462,81.76350562463624,81
mapillaryvistas,segformer_mit-b5,stage2,rainy,36.33352793439328,88.12189217073372,80.60939092317602,166
mapillaryvistas,segformer_mit-b5,stage2,snowy,38.92705187297765,90.2416777766608,83.22339303012747,153
outside15k,deeplabv3plus_r50,stage2,clear_day,32.488818362142844,76.75191148499951,65.77881095489417,1767
outside15k,deeplabv3plus_r50,stage2,cloudy,28.70372988134061,73.97887788969895,64.63939376211856,174
outside15k,deeplabv3plus_r50,stage2,dawn_dusk,15.684142486689867,50.326907995975375,39.45286156613201,66
outside15k,deeplabv3plus_r50,stage2,foggy,37.88557067998482,75.41012119602513,64.23852602995487,37
outside15k,deeplabv3plus_r50,stage2,night,18.808991786332022,62.51540348447603,52.024475255944715,87
outside15k,deeplabv3plus_r50,stage2,rainy,27.15355338476286,58.64946047465006,44.504948087342314,192
outside15k,deeplabv3plus_r50,stage2,snowy,23.806849489903186,60.844547145969266,47.07879416553541,182
outside15k,pspnet_r50,stage2,clear_day,37.18298804567307,78.80943548767056,68.59994064837244,1767
outside15k,pspnet_r50,stage2,cloudy,33.16366056011103,77.18733864269038,68.02970898231773,174
outside15k,pspnet_r50,stage2,dawn_dusk,21.01856163344742,60.444820288455844,49.34527555361194,66
outside15k,pspnet_r50,stage2,foggy,50.65060785686042,82.73247383736275,73.24177027294267,37
outside15k,pspnet_r50,stage2,night,24.714669239336647,74.00702114762932,62.777873271113926,87
outside15k,pspnet_r50,stage2,rainy,30.406043784541737,62.61669794718424,49.00538486645422,192
outside15k,pspnet_r50,stage2,snowy,31.858684455585195,68.70660677060975,56.774421753943535,182
outside15k,segformer_mit-b5,stage2,clear_day,52.08180755018709,85.05571707535006,75.59706402912131,1767
outside15k,segformer_mit-b5,stage2,cloudy,47.94809260965563,85.05853894113125,76.71466834613791,174
outside15k,segformer_mit-b5,stage2,dawn_dusk,41.708405965571764,79.3288028601444,69.06710899753797,66
outside15k,segformer_mit-b5,stage2,foggy,74.2815353307302,92.30300284720757,86.31892886331316,37
outside15k,segformer_mit-b5,stage2,night,39.386983593603674,82.94907054681887,73.37142030854866,87
outside15k,segformer_mit-b5,stage2,rainy,48.85679653928957,76.16508801778158,63.38002120027105,192
outside15k,segformer_mit-b5,stage2,snowy,40.96449803171273,78.14119359949133,66.72275364902809,182
