strategy,source_dataset,model,clear_day,foggy,night,rain,snow,adverse_avg
baseline,bdd10k,deeplabv3plus_r50,27.839029366175126,23.97741282006883,6.886538822051717,,,15.431975821060274
baseline,bdd10k,pspnet_r50,33.00158343198543,22.368134569261944,13.302783699377487,,,17.835459134319716
baseline,bdd10k,pspnet_r50,32.876344083798216,28.976007902541383,10.105047538082756,,,19.54052772031207
baseline,bdd10k,segformer_mit-b5,45.44453464137013,42.300968937466656,19.12391390689156,,,30.712441422179108
baseline,idd-aw,deeplabv3plus_r50,14.528491228591792,17.65067970359253,6.256930733979021,,,11.953805218785776
baseline,idd-aw,pspnet_r50,20.096258042121853,16.359162545719492,5.818873881846074,,,11.089018213782783
baseline,idd-aw,segformer_mit-b5,27.14567630732394,21.659328655884945,10.386476942688102,,,16.022902799286523
gen_CUT,bdd10k,pspnet_r50,34.8252603148246,31.30828699929752,12.900296403364866,,,22.104291701331192
gen_CUT,bdd10k,segformer_mit-b5,48.29686819112323,42.63921975106985,17.227161897309987,,,29.93319082418992
gen_CUT,idd-aw,deeplabv3plus_r50,18.031397091920997,18.828361548522874,7.644089104788565,,,13.23622532665572
gen_CUT,idd-aw,pspnet_r50,21.832911520254626,20.305295358600546,5.067007681183169,,,12.686151519891858
gen_CUT,idd-aw,segformer_mit-b5,28.510212931661798,22.958761280300322,12.221654328349093,,,17.590207804324706
gen_LANIT,bdd10k,deeplabv3plus_r50,27.353026256927116,26.912196591107485,10.477195133257366,,,18.694695862182424
gen_LANIT,bdd10k,pspnet_r50,36.09506734672045,31.970997824875585,13.765062943507328,,,22.868030384191457
gen_LANIT,bdd10k,segformer_mit-b5,49.06243409137579,43.2730771559463,17.513695101955182,,,30.393386128950738
gen_LANIT,idd-aw,deeplabv3plus_r50,15.450606419222165,17.811627178602638,7.709387434345438,,,12.760507306474038
gen_LANIT,idd-aw,pspnet_r50,21.87677477253921,19.800546116581778,6.208413423382514,,,13.004479769982145
gen_LANIT,idd-aw,segformer_mit-b5,28.452737777212388,23.758426203863962,11.209957476148432,,,17.484191840006197
gen_TSIT,bdd10k,deeplabv3plus_r50,28.75136159446347,28.16166069665548,10.635889391590132,,,19.398775044122807
gen_TSIT,bdd10k,pspnet_r50,34.446397753497685,30.85167524420058,13.198188220500695,,,22.024931732350638
gen_TSIT,bdd10k,segformer_mit-b5,46.97485082640373,43.11164584202473,18.17210753154331,,,30.64187668678402
gen_TSIT,idd-aw,pspnet_r50,22.694719426754624,20.67603884260931,6.6808712657644005,,,13.678455054186855
gen_cycleGAN,bdd10k,deeplabv3plus_r50,29.562200308667148,31.3077484410988,11.065741712954162,,,21.18674507702648
gen_cycleGAN,bdd10k,pspnet_r50,34.71183481671044,32.65494727808104,11.924825342999409,,,22.289886310540226
gen_cycleGAN,bdd10k,segformer_mit-b5,48.199155029041215,43.99034865227658,17.734319676319764,,,30.862334164298172
gen_cycleGAN,idd-aw,deeplabv3plus_r50,16.762021625705678,18.260476958844123,7.836313655944176,,,13.048395307394149
gen_cycleGAN,idd-aw,pspnet_r50,22.9628143754635,20.43818516329426,6.6384042444007685,,,13.538294703847514
gen_cycleGAN,idd-aw,segformer_mit-b5,28.23089267746922,23.316191315897143,11.73509637787239,,,17.525643846884766
gen_stargan_v2,bdd10k,deeplabv3plus_r50,29.767507657501085,30.86685613056965,7.944881706189201,,,19.405868918379426
gen_stargan_v2,bdd10k,pspnet_r50,35.103301407727656,31.957694374797846,13.110052127899023,,,22.533873251348435
gen_stargan_v2,bdd10k,segformer_mit-b5,47.98058060374768,43.44670657644219,16.811496516029866,,,30.12910154623603
gen_stargan_v2,idd-aw,deeplabv3plus_r50,17.41603989004295,16.80865719395374,7.410924132177615,,,12.109790663065677
gen_stargan_v2,idd-aw,pspnet_r50,22.98446199572189,20.424857458625137,6.143854180763634,,,13.284355819694387
gen_stargan_v2,idd-aw,segformer_mit-b5,28.919314744091253,22.994215732393382,11.129756097831834,,,17.061985915112608
photometric_distort,bdd10k,deeplabv3plus_r50,26.812081668474203,27.482973938168996,9.764712757442283,,,18.62384334780564
photometric_distort,bdd10k,pspnet_r50,35.64198736700284,32.69627331756405,11.0227784098403,,,21.859525863702174
photometric_distort,bdd10k,segformer_mit-b5,48.53191416728148,43.71932689383595,17.92168679462476,,,30.820506844230355
photometric_distort,idd-aw,deeplabv3plus_r50,15.466035246903756,17.631710304690603,6.0120266390680595,,,11.82186847187933
photometric_distort,idd-aw,pspnet_r50,22.65341131301641,19.454559426401744,6.370182256841335,,,12.91237084162154
photometric_distort,idd-aw,segformer_mit-b5,29.22708638168411,24.17826197712091,11.926523680954205,,,18.052392829037558
std_autoaugment,bdd10k,deeplabv3plus_r50,30.8364070065071,30.228795713237865,11.600515010065903,,,20.914655361651885
std_autoaugment,bdd10k,pspnet_r50,34.54581773943061,32.24388021228983,11.371368534501448,,,21.80762437339564
std_autoaugment,bdd10k,segformer_mit-b5,48.9798207075374,43.98595498095048,18.482333567743847,,,31.234144274347166
std_autoaugment,idd-aw,deeplabv3plus_r50,18.86609372677582,12.775112996458951,5.6168628290880225,,,9.195987912773486
std_autoaugment,idd-aw,pspnet_r50,22.092143359861822,19.3942372782103,5.749291068923468,,,12.571764173566885
std_autoaugment,idd-aw,segformer_mit-b5,30.34754781388011,25.217403202977422,8.232043153643703,,,16.724723178310562
std_cutmix,bdd10k,deeplabv3plus_r50,28.985058996290213,28.98602491903165,12.356504413380131,,,20.67126466620589
std_cutmix,bdd10k,pspnet_r50,32.56935045076128,29.775880301806602,12.216128627724544,,,20.996004464765573
std_cutmix,bdd10k,segformer_mit-b5,47.790969752703695,42.05836399445609,15.901387818352465,,,28.979875906404274
std_cutmix,idd-aw,deeplabv3plus_r50,16.827000005066306,18.165282069355573,6.666212679799132,,,12.415747374577354
std_cutmix,idd-aw,pspnet_r50,22.832233459521696,19.78920560338598,5.574710620200038,,,12.681958111793008
std_cutmix,idd-aw,segformer_mit-b5,30.177668847028507,24.31816520583367,11.393227502717837,,,17.855696354275754
std_mixup,bdd10k,deeplabv3plus_r50,28.760298052341348,29.495011405231836,10.77337693669309,,,20.134194170962463
std_mixup,bdd10k,pspnet_r50,33.706978093670706,30.348697972163645,11.72551354484983,,,21.037105758506737
std_mixup,bdd10k,segformer_mit-b5,46.43831066422744,44.18229547014918,15.195973817386992,,,29.689134643768085
std_mixup,idd-aw,deeplabv3plus_r50,16.99708131242063,14.19955588910111,6.8079043958185705,,,10.50373014245984
std_mixup,idd-aw,pspnet_r50,21.130614614515803,18.171563775738537,6.021548150564286,,,12.096555963151411
std_mixup,idd-aw,segformer_mit-b5,29.500777706826725,20.939178255848546,10.973067530599135,,,15.95612289322384
std_randaugment,bdd10k,deeplabv3plus_r50,28.91609680271981,29.050648512741024,11.493612243636232,,,20.272130378188628
std_randaugment,bdd10k,pspnet_r50,30.128059424825715,29.46502045931779,9.25741251885768,,,19.361216489087735
std_randaugment,bdd10k,segformer_mit-b5,49.12520305911926,43.83771402637295,17.217135585041312,,,30.52742480570713
std_randaugment,idd-aw,deeplabv3plus_r50,20.132966530407515,12.917310103715918,5.262574693610795,,,9.089942398663357
std_randaugment,idd-aw,pspnet_r50,21.57897645845942,18.605335061376124,4.901894164814336,,,11.75361461309523
std_randaugment,idd-aw,segformer_mit-b5,30.248533651223493,24.224744902825588,9.396230556848248,,,16.810487729836918
