strategy,dataset,model,iteration,mIoU,pixel_acc
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,90000,45.6152,90.4017
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,100000,46.0047,90.4253
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,110000,46.0674,90.4356
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,120000,46.1392,90.5025
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,130000,46.1909,90.5214
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,140000,45.9647,90.4753
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,150000,46.0019,90.5309
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,160000,46.3257,90.5506
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,170000,46.0613,90.6174
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,180000,46.0033,90.5802
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,190000,45.6323,90.4621
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,200000,46.2697,90.5960
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,210000,46.0579,90.6017
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,220000,46.2865,90.6242
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,230000,46.2930,90.6392
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,240000,46.3716,90.6696
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,250000,46.2116,90.6309
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,260000,46.0711,90.6400
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,270000,46.1751,90.6814
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,280000,46.3947,90.6483
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,290000,46.2464,90.5660
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,300000,46.3423,90.7031
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,310000,46.4884,90.7209
gen_albumentations_weather,bdd10k,pspnet_r50_ratio0p50,320000,46.4411,90.7096
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,90000,52.0768,91.7796
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,100000,52.3441,91.8341
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,110000,52.3995,91.8799
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,120000,52.4913,91.9091
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,130000,52.4604,91.9114
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,140000,52.5563,91.9512
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,150000,52.6486,91.9597
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,160000,52.5461,91.9455
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,170000,52.6762,91.9816
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,180000,52.6869,91.9549
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,190000,52.7901,91.9818
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,200000,52.8086,91.9908
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,210000,52.7904,91.9873
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,220000,52.7649,91.9890
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,230000,52.8528,92.0081
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,240000,52.8030,92.0018
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,250000,52.8081,91.9977
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,260000,52.9523,92.0194
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,270000,52.8964,92.0135
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,280000,52.9441,92.0062
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,290000,52.8408,92.0278
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,300000,52.7762,91.9862
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,310000,52.9265,92.0086
gen_albumentations_weather,bdd10k,segformer_mit-b5_ratio0p50,320000,52.8614,92.0203
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,100000,40.1217,85.2432
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,110000,40.1989,85.3486
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,120000,40.6261,85.5181
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,130000,40.7659,85.5596
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,140000,40.5750,85.4496
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,150000,40.7626,85.5941
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,160000,40.8584,85.5642
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,170000,41.0843,85.7086
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,180000,41.0372,85.6341
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,190000,40.9972,85.6763
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,200000,41.3120,85.7952
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,210000,41.2483,85.7726
gen_albumentations_weather,idd-aw,pspnet_r50_ratio0p50,220000,41.3481,85.8040
gen_cyclediffusion,bdd10k_ad,pspnet_r50_ratio0p50,100000,46.0831,90.4862
gen_cyclediffusion,bdd10k_ad,pspnet_r50_ratio0p50,110000,46.1447,90.4793
gen_cyclediffusion,bdd10k_ad,pspnet_r50_ratio0p50,120000,46.3253,90.5125
gen_cyclediffusion,bdd10k_ad,pspnet_r50_ratio0p50,130000,46.5342,90.5400
gen_cyclediffusion,bdd10k_ad,pspnet_r50_ratio0p50,140000,46.4623,90.5843
